at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,class
1,0.289,62.609,0.169,0.008,8.959,0.619,2.149,7.899,0.549,0.439,0.429,343.009,2.999,0.529,88.429,96.489,4.089,22.929,27.309,33.809,9.979,59.359,0.009,0.009,84.009,a
2,0.459,61.809,0.143,0.012,11.999,0.769,2.099,6.369,0.749,0.429,0.369,292.009,3.099,0.619,89.499,96.299,4.799,19.009,29.909,38.919,12.189,54.139,0.009,0.849,73.919,a
3,0.709,61.809,0.131,0.012,12.189,0.929,2.089,5.829,0.509,0.359,0.349,293.009,2.989,1.439,91.569,95.589,3.779,15.719,27.919,41.379,15.009,51.499,0.009,1.569,75.079,b
4,0.469,61.709,0.165,0.008,12.169,0.759,2.099,6.339,0.519,0.449,0.179,308.009,2.929,0.929,91.149,96.149,4.589,11.889,25.879,48.499,13.759,47.789,0.009,1.399,83.539,b
5,0.469,61.909,0.159,0.009,11.929,0.779,2.049,6.269,0.559,0.439,0.319,276.009,3.049,1.179,91.329,95.789,3.439,11.179,19.769,46.389,22.679,52.169,0.009,0.329,81.259,b
6,0.289,61.409,0.129,0,11.879,0.769,2.039,6.479,0.539,0.369,0.299,280.009,3.219,0.419,92.659,96.389,2.539,6.889,21.759,49.759,21.629,56.229,3.489,0.009,73.329,b
7,0.429,61.409,0.165,0.009,12.339,0.739,2.079,5.869,0.569,0.439,0.419,256.009,3.489,0.529,93.899,96.009,3.699,8.909,25.849,47.969,17.299,52.539,1.809,1.009,53.779,b
8,0.259,61.509,0.159,0.008,12.359,0.789,2.079,5.919,0.519,0.419,0.469,270.009,3.749,0.479,93.319,95.779,3.759,12.509,28.279,43.709,15.529,48.299,1.209,1.949,61.479,b
9,0.679,61.509,0.165,0.011,11.219,0.759,1.979,5.879,0.539,0.369,0.339,263.009,3.299,0.739,91.509,95.219,3.649,13.119,24.809,41.539,20.559,59.539,1.569,0.519,70.899,b
10,0.319,61.709,0.143,0.007,11.659,0.719,2.189,5.609,0.629,0.609,0.729,286.009,3.209,0.729,92.289,96.079,3.579,9.409,18.429,51.389,20.799,53.719,0.009,3.039,68.509,b
11,0.319,61.809,0.139,0.007,11.039,0.649,2.139,7.129,0.649,0.549,0.399,350.009,3.149,0.419,90.729,96.449,3.489,17.239,27.229,38.559,16.999,60.159,0.929,0.319,86.249,a
12,0.319,61.809,0.147,0.006,11.009,1.059,2.109,6.249,0.469,0.479,0.319,319.009,3.719,0.539,89.279,95.769,3.009,11.669,25.389,49.249,13.719,42.689,0.009,0.839,73.019,b
13,1.139,61.809,0.163,0.011,12.069,0.929,2.329,6.429,0.459,0.349,0.419,313.009,3.359,0.419,91.349,96.239,4.239,15.449,27.499,37.099,19.979,57.469,0.349,0.359,79.759,b
14,1.079,61.909,0.171,0.012,12.049,1.009,2.399,6.149,1.009,0.919,0.469,280.009,3.009,1.129,89.379,95.869,3.049,17.269,29.749,37.809,15.199,60.059,0.199,1.499,83.299,a
15,0.859,61.909,0.171,0.01,10.529,0.929,2.419,7.299,0.459,0.449,0.439,312.009,2.869,1.029,89.149,96.119,2.799,16.559,24.229,44.469,14.779,66.469,0.009,0.859,88.149,c
16,0.259,61.509,0.179,0.015,12.359,0.679,2.209,5.969,0.489,0.339,0.299,290.009,3.409,0.449,91.129,96.149,3.119,7.669,19.389,56.739,16.239,43.679,0.009,1.469,79.099,b
17,0.489,61.509,0.209,0.013,12.069,0.869,2.209,6.779,0.559,0.359,0.359,286.009,3.249,0.819,91.069,95.769,3.859,13.039,22.759,50.519,13.709,46.559,0.009,0.759,79.709,b
18,0.679,61.709,0.209,0.009,11.879,0.749,1.979,6.709,0.689,0.509,0.389,297.009,3.329,0.759,91.229,95.739,3.249,15.329,23.179,45.779,15.739,62.909,0.009,0.149,83.629,b
19,1.329,61.609,0.209,0.019,11.959,0.919,2.139,6.309,0.669,0.529,0.639,298.009,3.079,1.559,88.659,95.379,2.249,11.159,21.479,48.779,18.619,63.889,0.009,1.649,84.539,d
20,0.769,61.609,0.207,0.019,12.629,0.989,1.999,6.679,0.519,0.379,0.349,259.009,3.279,0.859,89.939,95.399,3.869,12.229,23.959,49.339,14.499,49.879,0.159,5.129,79.239,c
21,0.539,61.809,0.141,0.006,13.579,0.959,1.919,6.489,0.649,0.259,0.189,270.009,3.469,1.359,91.199,95.189,3.029,6.889,14.449,45.659,33.029,51.189,1.309,2.269,83.209,b
22,0.939,61.809,0.123,0.008,12.689,0.759,2.229,5.199,0.569,0.439,0.349,221.009,3.909,1.279,92.589,94.839,4.129,10.089,20.179,46.919,22.849,63.699,0.009,0.199,73.749,b
23,0.209,61.809,0.107,0.005,13.199,0.719,2.279,6.259,0.779,0.419,0.349,231.009,3.989,0.569,92.179,95.469,3.509,6.939,24.119,46.009,22.949,52.999,0.009,1.829,67.249,b
24,0.329,62.209,0.123,0.004,12.719,0.859,2.079,5.239,0.619,0.499,0.369,224.009,3.239,0.849,89.549,95.929,2.529,5.169,18.879,42.269,33.709,59.739,0.009,0.009,72.559,b
25,0.679,61.509,0.155,0.011,12.909,0.919,2.039,6.399,0.619,0.449,0.349,275.009,2.999,1.329,91.829,95.239,4.109,14.999,30.569,39.959,14.489,55.739,1.959,2.159,79.009,c
26,0.439,62.009,0.159,0.013,11.499,1.049,2.689,6.449,0.499,0.609,0.299,240.009,4.099,0.759,88.449,95.169,1.759,18.129,24.849,27.269,29.779,63.609,0.009,0.329,85.789,a
27,0.859,62.009,0.187,0.016,11.599,1.099,3.209,7.149,0.569,0.479,0.359,279.009,3.279,0.669,89.539,96.069,3.259,20.229,28.239,34.969,16.579,52.789,0.009,6.389,89.869,c
28,0.589,62.009,0.209,0.015,13.099,1.209,2.159,6.299,0.619,0.479,0.389,262.009,4.119,1.029,87.339,94.869,2.219,17.809,33.889,36.149,12.179,51.009,0.769,7.959,70.269,c
29,0.969,62.109,0.205,0.019,13.299,1.069,2.139,7.479,0.449,0.189,0.249,260.009,3.059,1.049,88.109,95.199,4.119,17.519,31.279,35.119,16.109,51.599,0.149,6.099,87.419,c
30,0.459,62.009,0.181,0.012,13.539,1.169,2.129,7.389,0.589,0.489,0.309,262.009,2.749,0.809,89.299,96.459,2.359,15.529,32.699,37.699,14.099,49.909,0.009,14.019,87.659,c
31,1.109,62.109,0.209,0.014,11.129,0.899,2.419,6.849,0.529,0.519,0.179,288.009,3.169,0.829,90.229,95.749,4.299,26.729,29.569,28.669,15.059,65.809,0.009,0.679,86.889,c
32,0.399,62.009,0.191,0.017,13.099,1.069,1.859,7.419,0.859,0.669,0.479,248.009,2.779,0.719,88.479,96.129,4.159,17.029,32.799,36.179,14.019,36.169,0.409,5.669,89.689,c
33,0.659,62.209,0.201,0.012,13.399,1.259,2.239,7.549,0.599,0.369,0.169,238.009,3.229,0.819,90.999,95.969,3.939,18.019,30.189,33.529,18.289,70.879,0.379,0.009,80.479,c
34,1.509,62.009,0.187,0.015,11.239,0.859,1.949,6.769,0.559,0.519,0.529,257.009,2.839,1.859,87.819,95.059,2.899,14.299,19.759,20.259,45.699,62.079,0.959,1.129,90.869,d
35,0.519,62.109,0.179,0.014,13.719,1.769,2.029,6.579,0.369,0.329,0.399,225.009,2.689,0.969,86.509,96.369,3.809,19.169,34.239,32.959,13.659,47.469,0.109,0.009,87.859,c
36,0.799,62.109,0.209,0.012,13.479,1.259,2.049,6.869,0.549,0.609,0.609,237.009,3.449,0.779,90.349,95.789,2.679,15.179,25.769,30.329,28.749,72.269,0.349,0.439,83.349,c
37,0.379,62.009,0.203,0.013,13.459,1.149,2.039,7.239,0.539,0.359,0.289,263.009,2.999,0.969,87.249,95.699,2.049,13.979,28.869,39.819,17.359,64.839,0.789,0.009,74.619,c
38,0.829,62.009,0.199,0.015,14.339,1.169,2.099,6.379,0.309,0.369,0.359,267.009,2.979,1.309,89.309,95.729,2.889,16.879,32.069,35.939,15.139,57.169,0.009,5.689,81.569,c
39,0.659,62.009,0.165,0.013,12.749,1.009,2.149,7.259,0.319,0.429,0.279,262.009,2.839,0.949,86.229,95.599,2.049,16.129,27.299,37.629,18.969,65.689,0.009,5.139,88.419,c
40,2.459,62.109,0.193,0.015,13.089,0.999,2.119,7.209,0.639,0.549,0.359,280.009,3.959,2.059,88.019,93.999,0.929,13.019,28.119,41.729,17.149,59.899,1.769,5.299,82.409,d
41,2.699,61.809,0.183,0.011,14.159,0.999,1.909,8.349,0.869,0.439,0.399,276.009,3.299,2.269,89.709,94.439,3.659,15.689,30.439,37.799,16.109,59.599,0.649,2.079,82.779,c
42,0.459,62.009,0.131,0.007,13.649,0.809,2.279,7.879,0.819,0.419,0.369,213.009,3.209,0.919,91.799,95.889,2.989,14.539,31.949,38.759,14.789,50.469,0.009,1.139,73.879,a
43,0.919,61.509,0.129,0.008,14.299,1.129,2.059,7.239,0.769,0.419,0.369,237.009,3.209,1.069,89.209,95.739,2.689,16.049,35.619,34.529,13.839,52.779,0.209,2.129,86.989,c
44,0.869,62.009,0.189,0.01,14.339,1.229,2.119,7.259,0.709,0.339,0.379,231.009,3.069,1.099,88.689,95.849,2.839,16.519,33.079,36.429,13.999,54.569,0.169,2.519,75.839,c
45,1.789,61.409,0.211,0.012,14.089,1.049,2.119,7.109,0.639,0.519,0.469,230.009,3.039,1.249,89.239,95.739,3.229,15.749,33.279,36.319,14.669,48.289,0.199,1.029,84.689,c
46,0.289,62.209,0.155,0.004,13.699,0.849,2.259,7.539,0.669,0.399,0.389,223.009,2.929,0.479,90.999,96.619,3.069,12.479,29.729,42.839,14.979,44.729,0.109,1.789,76.899,a
47,0.599,62.009,0.177,0.006,13.139,0.839,2.199,7.359,0.649,0.359,0.339,210.009,3.159,0.699,90.039,96.159,2.909,12.079,27.799,44.229,15.929,50.309,0.149,1.399,81.759,a
48,0.759,61.809,0.163,0.007,13.999,0.919,2.299,7.639,0.769,0.509,0.539,229.009,3.069,0.839,91.019,96.119,3.569,17.069,32.609,35.659,14.689,50.689,0.399,2.529,84.509,c
49,0.679,61.609,0.183,0.007,14.289,0.889,2.209,7.939,0.819,0.439,0.349,220.009,2.879,1.069,90.689,96.069,3.519,17.649,36.109,33.539,12.739,44.429,0.349,2.699,79.539,c
50,0.569,61.809,0.189,0.007,14.589,1.059,2.159,8.139,0.799,0.569,0.499,238.009,2.909,0.719,90.229,96.389,2.329,12.629,29.889,41.309,16.209,52.419,0.009,3.049,81.389,c
51,0.639,61.909,0.175,0.007,14.279,0.889,2.199,7.789,0.759,0.479,0.399,220.009,2.999,0.949,90.799,96.079,4.359,17.419,34.089,34.169,14.359,46.229,0.749,3.419,81.189,c
52,0.489,62.009,0.185,0.007,14.469,1.099,2.269,6.809,0.649,0.429,0.409,235.009,2.839,0.919,90.229,96.259,2.959,17.389,33.949,34.249,14.439,49.769,0.139,3.229,90.369,c
53,1.189,61.909,0.209,0.007,13.899,0.999,2.319,8.479,0.759,0.449,0.359,242.009,2.789,1.119,90.559,96.109,3.699,19.909,36.859,30.909,12.329,56.099,0.609,1.669,70.519,c
54,1.109,61.809,0.157,0.008,13.999,1.019,2.299,6.809,0.749,0.559,0.459,255.009,2.839,1.189,90.899,95.989,3.059,17.409,33.539,35.649,13.429,57.689,0.469,0.299,85.719,c
55,0.909,62.009,0.153,0.007,13.879,1.039,2.549,7.699,0.719,0.479,0.349,202.009,3.079,1.389,88.939,95.559,3.449,15.009,32.169,37.669,15.179,51.209,0.239,0.499,86.839,c
56,0.839,62.009,0.183,0.007,14.109,1.209,2.289,7.109,0.709,0.569,0.519,214.009,2.859,1.279,89.449,95.879,2.729,16.899,35.009,34.169,13.949,53.319,0.369,0.119,88.179,c
57,0.459,61.809,0.109,0.006,11.539,0.679,2.449,5.619,0.719,0.549,0.419,212.009,3.859,0.469,88.029,94.989,0.009,16.329,33.199,33.429,17.069,80.569,1.039,0.899,65.739,a
58,0.979,61.909,0.117,0.009,12.309,0.909,2.389,5.839,0.559,0.459,0.399,233.009,3.389,0.649,89.839,95.129,0.009,13.169,31.099,37.359,18.399,82.429,0.929,0.009,71.699,a
59,0.769,61.909,0.137,0.007,12.779,0.889,2.179,6.659,0.779,0.459,0.489,289.009,3.769,0.969,88.339,94.459,0.009,11.129,26.799,43.299,18.799,71.839,0.659,1.139,65.259,a
60,0.659,61.909,0.109,0.005,11.429,0.689,2.379,5.259,0.659,0.549,0.439,234.009,3.569,0.709,88.829,94.989,0.009,20.529,29.789,34.229,15.469,76.059,0.989,5.759,86.149,a
61,0.094,62.009,0.125,0.008,11.889,0.729,2.009,5.509,0.599,0.339,0.369,268.009,3.959,1.179,86.599,94.039,0.009,14.329,35.129,34.569,15.999,71.749,0.229,3.169,89.869,a
62,0.389,62.009,0.121,0.006,12.139,0.919,2.399,5.909,0.569,0.479,0.389,253.009,3.409,0.879,87.819,95.049,0.009,10.069,26.199,42.319,21.449,71.239,0.009,3.589,80.779,a
63,0.799,62.009,0.109,0.008,12.089,0.839,2.309,5.979,0.589,0.479,0.349,268.009,3.279,1.229,88.039,95.509,2.529,15.039,20.769,45.899,18.329,68.449,0.009,1.389,87.849,a
64,0.379,62.109,0.133,0.004,11.839,0.749,2.129,5.359,0.819,0.559,0.549,235.009,3.429,1.339,86.809,94.509,0.009,11.709,24.159,42.129,22.039,71.399,2.009,2.209,74.629,a
65,0.629,62.009,0.087,0.006,11.539,0.689,2.339,6.839,0.979,0.579,0.659,232.009,3.069,0.659,90.749,96.289,1.509,17.069,24.549,41.399,17.019,73.389,0.109,1.149,86.709,a
66,0.859,61.809,0.109,0.008,12.209,0.799,2.309,5.959,0.639,0.969,0.379,263.009,3.229,1.319,90.379,95.469,1.459,16.119,23.929,42.379,17.609,73.339,0.009,0.149,85.159,a
67,0.709,61.209,0.113,0.009,13.309,0.969,2.229,6.139,0.899,0.639,0.469,275.009,3.339,1.199,90.579,95.469,1.459,9.029,22.959,46.829,21.199,56.819,0.129,6.919,88.439,d
68,2.409,61.509,0.135,0.012,12.839,0.899,2.399,6.699,0.999,0.949,0.889,240.009,3.029,2.469,88.429,94.509,1.609,21.269,29.879,32.379,16.499,72.369,0.189,0.119,90.989,d
69,1.139,61.909,0.195,0.011,12.009,0.749,2.429,6.369,0.899,0.599,0.509,280.009,3.209,1.449,90.809,95.369,2.249,19.829,25.199,38.629,16.369,60.749,0.219,11.939,89.939,a
70,1.049,61.809,0.157,0.005,11.039,0.529,3.459,6.639,0.969,0.659,0.309,286.009,2.999,1.029,90.169,95.999,1.939,10.229,25.669,47.279,16.849,56.929,0.419,7.309,83.959,a
71,0.689,61.909,0.119,0.006,12.469,0.749,2.679,6.669,0.779,0.559,0.389,250.009,3.129,0.799,90.869,96.089,2.229,16.149,27.359,41.169,15.359,58.349,0.169,13.509,87.669,a
72,0.819,62.009,0.133,0.005,11.779,0.699,2.469,6.619,0.799,0.819,0.679,267.009,2.969,1.069,91.309,95.989,1.399,20.189,27.529,35.149,17.159,64.469,0.119,6.659,89.069,a
73,1.779,61.909,0.161,0.01,11.119,0.599,3.299,6.389,0.779,0.729,0.439,263.009,2.999,1.149,91.429,95.869,2.499,15.999,32.969,39.739,11.319,63.459,0.009,2.449,85.459,a
74,0.689,62.009,0.149,0.008,11.529,0.699,2.379,6.069,0.719,0.459,0.449,243.009,3.249,1.319,89.769,95.459,2.439,21.229,25.819,37.869,15.109,71.829,0.009,0.359,92.789,a
75,0.939,62.009,0.175,0.011,11.279,0.779,2.339,6.259,0.879,0.479,0.329,275.009,3.259,1.699,90.369,95.059,1.669,18.829,24.799,39.559,16.849,66.859,0.279,6.419,91.569,a
76,0.519,62.109,0.153,0.008,11.399,0.759,2.349,6.169,0.629,0.399,0.519,251.009,3.199,1.099,91.479,95.749,1.819,20.489,27.609,38.089,13.839,74.389,0.009,1.399,82.099,a
77,0.989,61.509,0.101,0.009,10.889,0.959,2.069,6.089,0.939,0.999,0.869,247.009,3.109,0.959,89.129,95.949,2.659,19.049,22.759,33.889,24.319,64.409,0.009,13.519,92.659,a
78,2.039,61.209,0.147,0.013,12.149,0.899,2.029,7.119,0.489,0.459,0.289,275.009,3.159,1.239,89.979,95.619,1.819,20.579,25.739,36.869,16.849,62.069,0.009,14.669,91.779,d
79,0.399,61.509,0.123,0.014,11.219,0.799,2.149,5.579,0.629,0.819,0.689,257.009,3.269,0.639,89.869,96.109,2.309,22.059,26.869,35.229,15.869,62.889,0.009,13.039,89.559,a
80,0.829,61.709,0.149,0.008,13.899,1.119,1.979,5.919,0.439,0.389,0.429,277.009,3.159,1.199,89.679,95.659,3.509,15.939,23.149,35.739,25.209,52.099,0.009,21.229,88.409,c
81,1.509,61.409,0.171,0.014,13.459,1.109,1.799,5.859,0.659,0.569,0.479,274.009,3.209,1.559,89.199,95.249,1.939,15.539,25.779,40.709,17.989,50.379,0.009,22.359,92.349,d
82,0.739,61.809,0.131,0.01,13.379,1.049,2.069,6.209,0.479,0.359,0.379,242.009,2.739,1.319,88.819,95.959,3.509,14.449,35.689,33.149,16.739,63.269,0.009,1.699,76.359,c
83,1.699,61.909,0.219,0.014,12.749,1.049,2.149,7.029,0.459,0.479,0.379,303.009,3.279,1.419,87.879,94.979,3.189,14.999,32.049,36.099,16.879,62.759,4.909,6.699,64.449,c
84,0.989,61.809,0.173,0.008,12.909,1.069,1.969,5.989,0.769,0.449,0.569,277.009,3.129,0.939,88.969,95.779,0.509,7.959,20.559,51.469,20.039,58.279,0.009,15.619,83.909,d
85,2.459,61.509,0.187,0.016,13.519,1.069,1.989,6.879,1.199,0.819,0.619,305.009,3.009,1.409,88.939,95.349,1.649,15.529,34.829,35.259,14.409,80.199,0.009,0.419,77.349,d
86,0.599,61.409,0.173,0.01,14.599,1.779,2.259,6.629,0.479,0.569,0.009,279.009,3.159,1.179,89.749,95.679,3.419,14.439,25.229,37.679,21.999,44.099,0.009,23.809,89.079,c
87,0.259,61.509,0.153,0.01,12.879,0.829,2.059,6.639,0.529,0.379,0.249,223.009,3.059,0.739,91.769,96.229,4.009,12.489,21.579,40.709,25.249,36.679,1.739,13.339,85.139,b
88,0.429,61.809,0.151,0.014,13.029,0.949,1.859,6.299,0.739,0.809,0.839,238.009,2.869,0.909,90.439,95.699,4.069,20.119,34.089,32.069,13.749,46.779,0.009,0.519,77.959,c
89,0.429,61.509,0.137,0.013,13.099,0.829,2.599,6.459,0.599,0.609,0.349,258.009,2.929,0.739,89.579,96.229,4.269,15.059,30.649,38.449,15.869,39.679,1.809,9.659,90.669,c
90,1.359,61.209,0.157,0.016,13.289,0.839,1.999,8.519,1.459,1.219,1.199,275.009,2.839,1.589,90.629,95.079,3.859,9.899,27.229,45.349,17.549,51.769,0.009,7.569,75.779,d
91,0.349,62.009,0.141,0.009,12.299,0.879,2.009,5.389,1.589,0.949,0.879,231.009,2.969,0.689,91.099,95.769,2.889,13.339,22.859,42.939,21.499,39.289,0.009,4.679,85.449,a
92,0.359,61.509,0.141,0.013,13.359,0.789,2.199,5.749,0.669,0.369,0.409,254.009,3.029,1.139,92.989,95.859,4.139,9.939,24.529,48.569,16.989,46.359,0.009,0.179,78.879,b
93,0.389,61.809,0.133,0.011,14.019,1.019,2.059,7.749,0.739,0.519,0.839,253.009,2.979,0.839,91.589,96.199,3.559,10.219,26.619,44.479,18.709,48.029,0.239,1.449,79.259,a
94,0.319,61.909,0.153,0.009,13.279,0.779,2.239,5.959,0.999,0.649,0.549,234.009,3.209,1.059,92.989,95.739,4.269,9.539,25.409,44.809,20.269,47.999,2.089,0.289,67.289,a
95,1.299,61.509,0.147,0.015,13.299,1.019,2.189,5.269,0.659,0.449,0.379,227.009,3.269,1.629,88.569,95.119,2.379,16.499,32.149,33.939,17.449,73.249,1.369,0.359,76.069,a
96,0.349,61.709,0.107,0.007,13.129,1.009,2.229,5.979,0.729,0.509,0.379,224.009,3.459,1.049,90.459,95.509,2.129,15.649,28.789,33.339,22.249,78.619,1.159,0.199,84.869,a
97,0.399,61.809,0.127,0.013,12.329,0.699,2.159,5.479,0.679,0.399,0.369,227.009,3.189,1.089,92.319,95.729,2.789,11.939,21.759,48.609,17.419,52.729,0.009,0.629,77.829,b
98,0.629,61.909,0.139,0.007,12.499,0.789,2.149,5.869,0.699,0.569,0.299,250.009,3.269,1.079,91.929,95.659,2.569,11.729,24.049,48.819,15.439,54.269,0.009,0.009,78.429,b
99,0.459,61.909,0.139,0.012,12.709,0.769,2.089,5.519,0.759,0.529,0.429,239.009,3.079,1.099,92.799,95.879,2.699,9.729,19.059,55.489,15.749,58.689,0.009,0.009,82.149,b
100,0.399,61.809,0.141,0.012,12.809,0.899,2.199,5.669,0.779,0.559,0.419,242.009,3.109,0.889,92.789,96.029,2.699,12.549,26.909,42.609,17.959,59.659,0.419,1.909,75.609,b
101,0.359,62.009,0.109,0.008,11.749,0.749,2.339,5.889,0.779,0.529,0.529,234.009,3.009,0.669,91.389,96.339,1.819,14.749,20.399,48.979,15.909,78.519,0.139,0.149,87.539,a
102,0.729,61.609,0.133,0.012,12.569,0.929,2.269,6.239,0.489,0.319,0.269,246.009,2.899,1.099,89.889,96.019,1.659,17.699,25.389,39.849,17.089,76.689,0.149,0.079,91.079,a
103,0.399,61.809,0.135,0.008,10.629,0.609,2.179,6.419,0.689,0.409,0.529,251.009,3.249,0.669,88.949,96.109,1.489,18.439,20.759,45.369,15.459,79.569,0.009,0.009,90.499,a
104,0.659,61.609,0.139,0.012,11.719,0.739,2.159,6.319,0.679,0.389,0.259,254.009,2.869,1.179,90.249,95.969,1.789,15.469,22.919,39.129,22.509,79.209,0.429,0.089,91.059,a
105,0.849,61.909,0.169,0.012,11.609,0.749,2.279,6.239,0.849,0.429,0.349,259.009,3.009,1.539,90.759,95.459,2.089,16.949,20.349,47.049,15.689,71.589,0.009,2.379,87.539,a
106,1.489,61.209,0.199,0.012,12.759,0.719,2.539,6.759,0.739,0.549,0.399,257.009,3.629,2.379,90.739,94.009,3.759,13.809,24.549,36.509,25.159,46.509,0.659,7.449,80.849,d
107,0.529,61.509,0.127,0.011,12.279,1.019,2.819,6.579,1.079,0.709,0.519,215.009,3.719,1.019,88.219,95.279,3.149,15.959,25.499,41.819,16.749,54.129,0.009,2.069,82.279,a
108,0.349,61.509,0.133,0.005,13.469,0.799,2.229,6.849,0.919,0.609,0.389,223.009,3.949,0.949,89.919,95.119,2.119,9.509,23.089,50.169,17.269,54.419,0.009,0.179,80.279,b
109,1.079,61.809,0.157,0.007,12.629,0.749,2.409,6.549,0.759,0.619,0.429,226.009,3.649,1.179,90.619,95.189,3.669,13.999,25.569,39.619,20.829,50.129,0.289,4.719,73.349,a
110,0.399,61.909,0.181,0.005,12.549,0.769,2.209,6.459,0.729,0.429,0.489,245.009,3.989,1.009,89.579,95.029,3.639,8.479,25.149,47.149,19.259,59.039,0.379,1.199,62.889,b
111,0.829,61.909,0.163,0.008,13.349,0.849,2.329,6.829,0.719,0.489,0.609,218.009,3.839,1.029,88.329,95.139,3.239,14.799,33.169,35.689,16.369,66.359,1.749,0.009,87.659,a
112,0.319,62.009,0.145,0.009,12.709,0.899,2.279,6.989,0.749,0.599,0.479,237.009,3.719,0.509,88.889,95.789,2.379,12.479,30.239,39.489,17.829,74.579,1.089,0.009,70.689,a
113,0.879,61.909,0.135,0.01,12.799,0.839,2.549,7.459,0.679,0.489,0.349,234.009,3.439,1.189,88.129,94.459,0.009,14.359,28.319,37.649,19.699,63.389,1.109,1.169,90.259,a
114,0.769,61.809,0.179,0.009,12.829,1.029,2.889,6.689,0.749,0.569,0.509,195.009,3.689,1.489,89.499,94.839,3.769,14.879,30.129,37.859,17.159,63.459,0.839,0.329,82.129,a
115,0.289,62.009,0.131,0.006,12.799,0.909,2.239,6.619,0.619,0.429,0.299,209.009,3.819,0.679,86.489,94.649,1.099,7.349,21.059,43.469,22.159,69.719,0.289,0.479,83.129,a
116,0.509,62.509,0.103,0.006,11.959,0.689,2.539,6.299,0.589,0.439,0.269,212.009,3.759,0.779,89.649,95.489,3.989,19.979,33.199,33.329,13.519,62.359,2.149,0.749,72.739,a
117,0.399,62.009,0.105,0.007,13.799,0.849,2.409,7.589,0.619,0.459,0.359,225.009,3.379,0.409,90.339,96.229,2.939,12.469,35.589,35.809,16.159,53.629,4.659,0.009,67.199,a
118,0.379,62.109,0.121,0.006,12.059,0.609,2.499,6.369,0.689,0.459,0.359,214.009,3.929,0.869,89.229,95.219,3.779,17.069,33.439,34.669,14.849,48.149,0.009,0.899,78.899,a
119,0.569,61.909,0.151,0.007,12.549,0.839,2.339,6.439,0.569,0.449,0.349,215.009,3.709,0.929,89.589,95.379,4.269,15.799,30.879,37.909,15.439,60.909,1.059,2.459,83.619,a
120,0.289,62.009,0.127,0.006,12.799,0.919,2.299,5.879,0.649,0.589,0.529,244.009,3.589,0.789,86.779,95.639,2.279,8.669,28.359,43.889,19.099,59.129,0.009,0.769,74.099,a
